delta_v_m_s,total_prop_kg,fuel_kg,ox_kg,cost_usd,cost_per_ms_usd,burn_time_s,fuel_volume_L,ox_volume_L
1,0.004574,0.001577,0.002997,1.27,1.2743,1.44,0.002,0.0021
2,0.009149,0.003155,0.005994,2.55,1.2746,2.87,0.004,0.0041
3,0.013727,0.004733,0.008993,3.82,1.2749,4.31,0.006,0.0062
4,0.018306,0.006312,0.011994,5.1,1.2751,5.74,0.008,0.0083
5,0.022887,0.007892,0.014995,6.38,1.2754,7.18,0.01,0.0104
6,0.02747,0.009473,0.017998,7.65,1.2756,8.62,0.012,0.0124
7,0.032055,0.011054,0.021002,8.93,1.2759,10.06,0.014,0.0145
8,0.036642,0.012635,0.024007,10.21,1.2762,11.5,0.016,0.0166
9,0.041231,0.014218,0.027013,11.49,1.2764,12.94,0.018,0.0187
10,0.045821,0.0158,0.030021,12.77,1.2767,14.38,0.02,0.0207
11,0.050414,0.017384,0.03303,14.05,1.2769,15.82,0.022,0.0228
12,0.055008,0.018968,0.03604,15.33,1.2772,17.26,0.024,0.0249
13,0.059604,0.020553,0.039051,16.61,1.2775,18.7,0.026,0.027
14,0.064202,0.022139,0.042064,17.89,1.2777,20.15,0.028,0.029
15,0.068802,0.023725,0.045077,19.17,1.278,21.59,0.03,0.0311
16,0.073404,0.025312,0.048092,20.45,1.2782,23.04,0.032,0.0332
17,0.078008,0.026899,0.051108,21.73,1.2785,24.48,0.034,0.0353
18,0.082613,0.028487,0.054126,23.02,1.2788,25.93,0.0361,0.0374
19,0.087221,0.030076,0.057145,24.3,1.279,27.37,0.0381,0.0395
20,0.09183,0.031666,0.060165,25.59,1.2793,28.82,0.0401,0.0416
21,0.096441,0.033256,0.063186,26.87,1.2795,30.26,0.0421,0.0436
22,0.101054,0.034846,0.066208,28.16,1.2798,31.71,0.0441,0.0457
23,0.105669,0.036438,0.069232,29.44,1.2801,33.16,0.0461,0.0478
24,0.110286,0.03803,0.072256,30.73,1.2803,34.61,0.0481,0.0499
25,0.114905,0.039622,0.075283,32.01,1.2806,36.06,0.0502,0.052
26,0.119526,0.041216,0.07831,33.3,1.2809,37.51,0.0522,0.0541
27,0.124148,0.04281,0.081338,34.59,1.2811,38.96,0.0542,0.0562
28,0.128773,0.044404,0.084368,35.88,1.2814,40.41,0.0562,0.0583
29,0.133399,0.046,0.087399,37.17,1.2816,41.86,0.0582,0.0604
30,0.138027,0.047596,0.090432,38.46,1.2819,43.31,0.0602,0.0625
31,0.142657,0.049192,0.093465,39.75,1.2822,44.77,0.0623,0.0645
32,0.147289,0.050789,0.0965,41.04,1.2824,46.22,0.0643,0.0666
33,0.151923,0.052387,0.099536,42.33,1.2827,47.68,0.0663,0.0687
34,0.156559,0.053986,0.102573,43.62,1.283,49.13,0.0683,0.0708
35,0.161197,0.055585,0.105612,44.91,1.2832,50.59,0.0704,0.0729
36,0.165836,0.057185,0.108651,46.21,1.2835,52.04,0.0724,0.075
37,0.170478,0.058785,0.111692,47.5,1.2837,53.5,0.0744,0.0771
38,0.175121,0.060387,0.114734,48.79,1.284,54.96,0.0764,0.0792
39,0.179766,0.061988,0.117778,50.09,1.2843,56.41,0.0785,0.0813
40,0.184413,0.063591,0.120823,51.38,1.2845,57.87,0.0805,0.0834
